src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,relation_label_id,relation_type,relation_label_repr,event_id,event_trigger,event_type,event_time,tar_entity_match_text,tar_entity_match_pattern_type
1065762778,PullRequestReviewComment,,Obj,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26334793178,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 13:07:19,https://github.com/elastic/elasticsearch/blob/61e3075b77dbbe28b9f511c253622b759ea04a77/x-pack/plugin/security/src/main/java/org/elasticsearch/xpack/security/authz/AuthorizationService.java#L179,GitHub_Files
1065926185,PullRequestReviewComment,4357326,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26337766097,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 15:30:07,,
1065926185,PullRequestReviewComment,1242439832,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26337766097,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 15:30:07,,
1065927734,PullRequestReviewComment,4357326,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26337801114,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 15:31:21,,
1065927734,PullRequestReviewComment,1242443205,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26337801114,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 15:31:21,,
1065927734,PullRequestReviewComment,d57f820122a39bb39cacdfda1ac88e6979edf28b,Commit,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26337801114,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 15:31:21,https://github.com/elastic/elasticsearch/pull/88708/commits/d57f820122a39bb39cacdfda1ac88e6979edf28b,SHA
1065932934,PullRequestReviewComment,4357326,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26337909184,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 15:35:30,,
1065932934,PullRequestReviewComment,1242455096,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26337909184,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 15:35:30,,
1066819014,PullRequestReviewComment,4357326,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26356883550,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-11 10:22:14,,
1066819014,PullRequestReviewComment,1243646536,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26356883550,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-11 10:22:14,,
1068385689,PullRequestReviewComment,4357326,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26393209386,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-12 17:11:24,,
1068385689,PullRequestReviewComment,1246077751,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26393209386,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-12 17:11:24,,
